"There are issues when processing your payment. Invalid payment request.","There are issues when processing your payment. Invalid payment request."
"Atome payment failed. Please try again or use an alternative payment method.","Atome payment failed. Please try again or use an alternative payment method."
"Atome payment doesn't complete. Please try again or use an alternative payment method.","Atome payment doesn't complete. Please try again or use an alternative payment method."
"Atome payment unexpected problem occurs.","Atome payment unexpected problem occurs."
"Error occurs when placing order: can not submit","Error occurs when placing order: can not submit"
"The paid amount: %1.","The paid amount: %1."
"Gateway error: %1","Gateway error: %1"
"Atome API Error: HTTP=%1, Code=%2, Message=%3","Atome API Error: HTTP=%1, Code=%2, Message=%3"
.,.
"'unknown class to refund: ' .","'unknown class to refund: ' ."
"Authorise and Capture","Authorise and Capture"
"Check out with","Check out with"
"and enjoy 3 easy payments with 0% interest.","and enjoy 3 easy payments with 0% interest."
"New user %1 off.","New user %1 off."
"or 3 payments of [[installment_price]] by [[atome_logo]]","or 3 payments of [[installment_price]] by [[atome_logo]]"
"- 3 payments with 0% interest","- 3 payments with 0% interest"
"Three interest-free payments totalling","Three interest-free payments totalling"
"First instalment","First instalment"
"30 days later","30 days later"
"60 days later","60 days later"
"You will be redirected to Atome when you proceed to checkout. ","You will be redirected to Atome when you proceed to checkout. "
https://www.atome.sg/,https://www.atome.sg/
"Terms & Conditions","Terms & Conditions"
"Place Order","Place Order"
"The minimum amount should be S$30.00","The minimum amount should be [[minimum_spend]]"
"Atome Payment Completed","Atome Payment Completed"
Atome,Atome
"Atome Module Version","Atome Module Version"
Enabled,Enabled
Title,Title
"Price Divider (Product List)","Price Divider (Product List)"
"Price Divider (Product Detail)","Price Divider (Product Detail)"
"Price Divider Plugin URL","Price Divider Plugin URL"
"API Environment","API Environment"
"Merchant Key","Merchant Key"
"Merchant Secret","Merchant Secret"
"Payment Action","Payment Action"
Debug,Debug
"Sort Order","Sort Order"
"Exclude Category","Exclude Category"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
