"There are issues when processing your payment. Invalid payment request.","There are issues when processing your payment. Invalid payment request."
"Atome payment failed. Please try again or use an alternative payment method.","Atome payment failed. Please try again or use an alternative payment method."
"Atome payment doesn't complete. Please try again or use an alternative payment method.","Atome payment doesn't complete. Please try again or use an alternative payment method."
"Atome payment unexpected problem occurs.","Atome payment unexpected problem occurs."
"Error occurs when placing order: can not submit","Error occurs when placing order: can not submit"
"The paid amount: %1.","The paid amount: %1."
"Gateway error: %1","Gateway error: %1"
"Atome API Error: HTTP=%1, Code=%2, Message=%3","Atome API Error: HTTP=%1, Code=%2, Message=%3"
.,.
"'unknown class to refund: ' .","'unknown class to refund: ' ."
"Authorise and Capture","Authorise and Capture"
"Check out with","Bayar dengan"
"and enjoy 3 easy payments with 0% interest.","dan nikmati 3x cicilan mudah dengan bunga 0%."
"New user %1 off.","New user %1 off."
"or 3 payments of [[installment_price]] by [[atome_logo]]","atau 3x cicilan [[installment_price]] dengan [[atome_logo]]"
"- 3 payments with 0% interest","- Bunga 0% untuk 3x cicilan"
"Three interest-free payments totalling","3x Cicilan bebas bunga dengan total keseluruhan tagihan"
"1 month later","1 bulan kemudian"
"2 months later","2 bulan kemudian"
"3 months later","3 bulan kemudian"
"First instalment","Cicilan pertama"
"30 days later","1 bulan kemudian"
"60 days later","2 bulan kemudian"
"You will be redirected to Atome when you proceed to checkout. ","Kamu akan diarahkan ke halaman ATOME untuk melanjutkan pembayaran."
https://www.atome.sg/,https://www.atome.id/
"Terms & Conditions","Syarat & Ketentuan"
"Place Order","Buat pesanan"
"The minimum amount should be S$30.00","Transaksi minimum [[minimum_spend]]"
"Atome Payment Completed","Pembayaran Atome Selesai"
Atome,Atome
"Atome Module Version","Atome Module Version"
Enabled,Enabled
Title,Title
"Price Divider (Product List)","Price Divider (Product List)"
"Price Divider (Product Detail)","Price Divider (Product Detail)"
"Price Divider Plugin URL","Price Divider Plugin URL"
"API Environment","API Environment"
"Merchant Key","Merchant Key"
"Merchant Secret","Merchant Secret"
"Payment Action","Payment Action"
Debug,Debug
"Sort Order","Sort Order"
"Exclude Category","Exclude Category"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
