"There are issues when processing your payment. Invalid payment request.","พบปัญหาในการดำเนินการชำระเงินของคุณ คำขอชำระเงินไม่ถูกต้อง"
"Atome payment failed. Please try again or use an alternative payment method.","การชำระเงินกับ Atome ไม่สำเร็จ โปรดลองอีกครั้งด้วยวิธีการชำระเงินอื่น"
"Atome payment doesn't complete. Please try again or use an alternative payment method.","การชำระเงินกับ Atome ไม่สมบูรณ์ โปรดลองอีกครั้งด้วยวิธีการชำระเงินอื่น"
"Atome payment unexpected problem occurs.","พบปัญหาในการดำเนินการชำระเงินของคุณ"
"Error occurs when placing order: can not submit","พบปัญหาในการส่งคำสั่งของคุณ ไม่สามารถดำเนินการได้"
"The paid amount: %1.","จำนวนเงินที่จ่าย: %1."
"Gateway error: %1","Gateway error: %1"
"Atome API Error: HTTP=%1, Code=%2, Message=%3","ปัญหา API กับ Atome: HTTP=%1, Code=%2, Message=%3"
.,.
"'unknown class to refund: ' .","'unknown class to refund: ' ."
"Authorise and Capture","Authorise and Capture"
"Check out with","ชำระเงินกับ"
"and enjoy 3 easy payments with 0% interest.","เพลิดเพลินกับการแบ่งชำระเงินง่ายๆ 3 งวด พร้อมดอกเบี้ย 0%"
"New user %1 off.","ลูกค้าใหม่ลด 1%"
"or 3 payments of [[installment_price]] by [[atome_logo]]","หรือแบ่งการชำระเงินเป็น 3 งวด [[installment_price]] กับ [[atome_logo]]"
"- 3 payments with 0% interest","- แบ่งชำระ 3 งวด ดอกเบี้ย 0%"
"Three interest-free payments totalling","ยอดชำระไม่มีดอกเบี้ยทั้งหมด 3 งวด"
"First instalment","งวดแรก"
"30 days later","30 วันต่อมา"
"60 days later","60 วันต่อมา"
"You will be redirected to Atome when you proceed to checkout. ","ระบบจะนำผู้ซื้อไปยังหน้าเว็บไซต์ Atome เพื่อดำเนินการชำระเงิน"
https://www.atome.sg/,https://www.atometh.com
"Terms & Conditions","ข้อตกลงและเงื่อนไข"
"Place Order","สั่งซื้อสินค้า"
"The minimum amount should be S$30.00","จำนวนเงินขั้นต่ำควรเป็น [[minimum_spend]]"
"Atome Payment Completed","การชำระเงินกับ Atome เรียบร้อยแล้ว"
Atome,Atome
"Atome Module Version","Atome Module Version"
Enabled,Enabled
Title,Title
"Price Divider (Product List)","Price Divider (Product List)"
"Price Divider (Product Detail)","Price Divider (Product Detail)"
"Price Divider Plugin URL","Price Divider Plugin URL"
"API Environment","API Environment"
"Merchant Key","Merchant Key"
"Merchant Secret","Merchant Secret"
"Payment Action","Payment Action"
Debug,Debug
"Sort Order","Sort Order"
"Exclude Category","Exclude Category"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
