"There are issues when processing your payment. Invalid payment request.","There are issues when processing your payment. Invalid payment request."
"Atome payment failed. Please try again or use an alternative payment method.","Atome payment failed. Please try again or use an alternative payment method."
"Atome payment doesn't complete. Please try again or use an alternative payment method.","Atome payment doesn't complete. Please try again or use an alternative payment method."
"Atome payment unexpected problem occurs.","Atome payment unexpected problem occurs."
"Error occurs when placing order: can not submit","Error occurs when placing order: can not submit"
"The paid amount: %1.","The paid amount: %1."
"Gateway error: %1","Gateway error: %1"
"Atome API Error: HTTP=%1, Code=%2, Message=%3","Atome API Error: HTTP=%1, Code=%2, Message=%3"
.,.
"'unknown class to refund: ' .","'unknown class to refund: ' ."
"Authorise and Capture","Authorise and Capture"
"Check out with","Thanh toán với"
"and enjoy 3 easy payments with 0% interest.","và tận hưởng 3 kỳ thanh toán với mức lãi suất 0%"
"New user %1 off.","Giảm %1 đối với người dùng mới"
"or 3 payments of [[installment_price]] by [[atome_logo]]","hoặc 3 kỳ thanh toán [[installment_price]] với [[atome_logo]]"
"- 3 payments with 0% interest","- 3 lần thanh toán với mức lãi suất 0%"
"Three interest-free payments totalling","Sau 3 lần thanh toán - mức lãi suất 0%"
"First instalment","Thanh toán lần đầu tiên"
"30 days later","30 ngày sau tiếp tục thanh toán"
"60 days later","60 ngày sau tiếp tục thanh toán"
"You will be redirected to Atome when you proceed to checkout. ","Khi bạn tiến hành thanh toán, đơn hàng sẽ được điều hướng đến Atome"
https://www.atome.sg/,https://www.atome.vn/
"Terms & Conditions","Điều khoản & điều kiện sử dụng"
"Place Order","Đặt hàng"
"The minimum amount should be S$30.00","Đơn hàng có giá trị tối thiểu là [[minimum_spend]]"
"Atome Payment Completed","Thanh toán Atome đã hoàn thành"
Atome,Atome
"Atome Module Version","Atome Module Version"
Enabled,Enabled
Title,Title
"Price Divider (Product List)","Price Divider (Product List)"
"Price Divider (Product Detail)","Price Divider (Product Detail)"
"Price Divider Plugin URL","Price Divider Plugin URL"
"API Environment","API Environment"
"Merchant Key","Merchant Key"
"Merchant Secret","Merchant Secret"
"Payment Action","Payment Action"
Debug,Debug
"Sort Order","Sort Order"
"Exclude Category","Exclude Category"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
