"There are issues when processing your payment. Invalid payment request.","There are issues when processing your payment. Invalid payment request."
"Atome payment failed. Please try again or use an alternative payment method.","Atome payment failed. Please try again or use an alternative payment method."
"Atome payment doesn't complete. Please try again or use an alternative payment method.","Atome payment doesn't complete. Please try again or use an alternative payment method."
"Atome payment unexpected problem occurs.","Atome payment unexpected problem occurs."
"Error occurs when placing order: can not submit","Error occurs when placing order: can not submit"
"The paid amount: %1.","The paid amount: %1."
"Gateway error: %1","Gateway error: %1"
"Atome API Error: HTTP=%1, Code=%2, Message=%3","Atome API Error: HTTP=%1, Code=%2, Message=%3"
.,.
"'unknown class to refund: ' .","'unknown class to refund: ' ."
"Authorise and Capture","Authorise and Capture"
"Check out with","使用"
"and enjoy 3 easy payments with 0% interest.","結賬，享有免息三期付款。"
"New user %1 off.","新用戶可獲%1折扣。"
"or 3 payments of [[installment_price]] by [[atome_logo]]","[[atome_logo]]輕鬆分期付 每月[[installment_price]]"
"- 3 payments with 0% interest","- 0%利率，3期輕鬆付 （APP首次結帳享優惠）"
"Three interest-free payments totalling","0%利率三期分期付款總額NT"
"First instalment","第一期"
"30 days later","30天後"
"60 days later","60天後"
"You will be redirected to Atome when you proceed to checkout. ","付款時將為引導至Atome"
https://www.atome.sg/,https://www.atome.hk/
"Terms & Conditions","使用條款"
"Place Order","付款"
"The minimum amount should be S$30.00","最低消費金額為[[minimum_spend]]"
"Atome Payment Completed","Atome 付款完成"
Atome,Atome
"Atome Module Version","Atome Module Version"
Enabled,Enabled
Title,Title
"Price Divider (Product List)","Price Divider (Product List)"
"Price Divider (Product Detail)","Price Divider (Product Detail)"
"Price Divider Plugin URL","Price Divider Plugin URL"
"API Environment","API Environment"
"Merchant Key","Merchant Key"
"Merchant Secret","Merchant Secret"
"Payment Action","Payment Action"
Debug,Debug
"Sort Order","Sort Order"
"Exclude Category","Exclude Category"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
