"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","คุณต้องยืนยันบัญชีของคุณ โปรดตรวจสอบอีเมลของคุณเพื่อดูลิงก์การยืนยันหรือ <a href=""%1"">คลิกที่นี่</a> เพื่อเปิดหน้าต่างใหม่."
"Checkout", "เช็คเอาท์"
"Already have an account?", "มีบัญชีอยู่แล้ว?"
"Click Here.", "คลิกที่นี่"
"to login", "เพื่อเข้าสู่ระบบ"
"Select code discount","ป้อนรหัสส่วนลด"
"APPLY","ยืนยัน"
"Payment Summary", "สรุปการชำระเงิน"
"No payment method selected", "ไม่ได้เลือกวิธีการชำระเงิน"
"Please allow to use cookie before you can access this feature.", "โปรดอนุญาตให้ใช้คุกกี้ ก่อนที่คุณจะสามารถเข้าถึงคุณสมบัตินี้ได้"
"Edit item", "สินค้าที่มีการเปลี่ยนแปลง"
"Order Shipments", "การส่งสินค้า"
"Your email address...", "อีเมลของคุณ"
"NEWSLETTER", "ข่าวสารและโปรโมชั่น"
"Enter email for news and special offers.", "กรอกอีเมลเพื่อรับข่าวสารและโปรโมชั่น"
"Sub District", "ตำบล/แขวง"
"Please select and accept your Cookies Group","โปรดเลือก และยอมรับกลุ่มคุกกี้ของคุณ"
"Please enter your email to be notified when this product becomes available","โปรดกรอกที่อยู่อีเมล์ของท่านเพื่อรับการแจ้งเตือนเมื่อสินค้ามีสต็อก"
"Notify me","รับการแจ้งเตือน"
"Insert your email", "ใส่ที่อยู่อีเมลของคุณ"
