Please Register or Sign in before purchasing,กรุณาสมัครสมาชิกหรือเข้าสู่ระบบก่อนสั่งซื้อ,,
The customer information is not available,ไม่มีข้อมูลลูกค้าอยู่ในระบบ,,
(Disabled),(Disabled),module,Aheadworks_Popup
100,100,module,Aheadworks_Popup
20,20,module,Aheadworks_Popup
200,200,module,Aheadworks_Popup
30,30,module,Aheadworks_Popup
3d unfold,3d unfold,module,Aheadworks_Popup
50,50,module,Aheadworks_Popup
A total of %1 record(s) have been deleted.,A total of %1 record(s) have been deleted.,module,Aheadworks_Popup
A total of %1 record(s) have been updated.,A total of %1 record(s) have been updated.,module,Aheadworks_Popup
Animation Effect,เอฟเฟกต์ภาพเคลื่อนไหว,module,Aheadworks_Popup
Are you sure you wan't to delete selected popups?,แน่ใจหรือว่าคุณไม่อยากลบป๊อปอัปที่เลือก?,module,Aheadworks_Popup
Bottom center,กึ่งกลาง,module,Aheadworks_Popup
Bottom left,ล่างซ้าย,module,Aheadworks_Popup
Bottom right,ด้านล่างขวา,module,Aheadworks_Popup
Catalog Pages,หน้าแคตตาล็อก,module,Aheadworks_Popup
Categories,หมวดหมู่,module,Aheadworks_Popup
Change status,เปลี่ยนสถานะ,module,Aheadworks_Popup
Checkout,เช็คเอาท์,module,Aheadworks_Popup
Clicks,การคลิก,module,Aheadworks_Popup
Conditions,เงื่อนไข,module,Aheadworks_Popup
Conditions (don't add conditions if rule is applied to all products),เงื่อนไข (ไม่เพิ่มเงื่อนไขหากกฎถูกนำไปใช้กับผลิตภัณฑ์ทั้งหมด),module,Aheadworks_Popup
Conditions Combination,เงื่อนไขการรวมกัน,module,Aheadworks_Popup
Content,เนื้อหา,module,Aheadworks_Popup
"Cookie Lifetimes, minutes",อายุการใช้งานคุกกี้นาที,module,Aheadworks_Popup
Create New Popup,สร้างป๊อปอัปใหม่,module,Aheadworks_Popup
CTR,CTR,module,Aheadworks_Popup
Custom CSS,CSS ที่กำหนดเอง,module,Aheadworks_Popup
Customer Group,กลุ่มลูกค้า,module,Aheadworks_Popup
Customer Groups,กลุ่มลูกค้า,module,Aheadworks_Popup
Customer Segments,กลุ่มลูกค้า,module,Aheadworks_Popup
Delete,ลบ,module,Aheadworks_Popup
Delete popups,ลบป๊อปอัป,module,Aheadworks_Popup
Design Content,การออกแบบเนื้อหา,module,Aheadworks_Popup
Disable,ปิดการใช้งาน,module,Aheadworks_Popup
Disabled,พิการ,module,Aheadworks_Popup
Display At,แสดงที่,module,Aheadworks_Popup
Edit Popup,แก้ไขป๊อปอัป,module,Aheadworks_Popup
Enable,เปิดใช้งาน,module,Aheadworks_Popup
Enabled,เปิดใช้งาน,module,Aheadworks_Popup
Event,เหตุการณ์,module,Aheadworks_Popup
Fade-slide,สละสลวย,module,Aheadworks_Popup
Fade-zoom,ซูมจาง,module,Aheadworks_Popup
from,จาก,module,Aheadworks_Popup
From,จาก,module,Aheadworks_Popup
General Information,ข้อมูลทั่วไป,module,Aheadworks_Popup
Get Support,ได้รับความช่วยเหลือ,module,Aheadworks_Popup
Hide popup for mobile devices,ซ่อนป๊อปอัปสำหรับอุปกรณ์มือถือ,module,Aheadworks_Popup
Hide popup for search engines,ซ่อนป๊อปอัปสำหรับเครื่องมือค้นหา,module,Aheadworks_Popup
Home Page,โฮมเพจ,module,Aheadworks_Popup
Horizontal move,การย้ายแนวนอน,module,Aheadworks_Popup
ID,รหัสประจำตัว,module,Aheadworks_Popup
Immediately after the page is loaded (not recommended),ทันทีหลังจากโหลดหน้าเว็บ (ไม่แนะนำ),module,Aheadworks_Popup
"Insert custom CSS to change popup design. If left blank, default design will be used.",แทรก CSS ที่กำหนดเองเพื่อเปลี่ยนการออกแบบป๊อปอัพ หากว่างเปล่าการออกแบบเริ่มต้นจะถูกใช้,module,Aheadworks_Popup
Manage Popups,จัดการป๊อปอัป,module,Aheadworks_Popup
Middle center,ศูนย์กลาง,module,Aheadworks_Popup
Middle left,กลางซ้าย,module,Aheadworks_Popup
Middle right,ตรงกลาง,module,Aheadworks_Popup
Move from top,ย้ายจากด้านบน,module,Aheadworks_Popup
Name,ชื่อ,module,Aheadworks_Popup
New Popup,ป๊อปอัปใหม่,module,Aheadworks_Popup
Newspaper,หนังสือพิมพ์,module,Aheadworks_Popup
